Route_Number,Route_Name,Ridership_Total,Week_Range,Route_Date,ObjectId
FerryDH,Dartmouth to Halifax,2613,2019.09.22 - 2019.09.28,9/28/2019 10:00:00 AM,1
FerryHD,Halifax to Dartmouth,2384,2019.09.22 - 2019.09.28,9/28/2019 10:00:00 AM,2
FerryHW,Halifax to Woodside,0,2019.09.22 - 2019.09.28,9/28/2019 10:00:00 AM,3
FerryWH,Woodside to Halifax,0,2019.09.22 - 2019.09.28,9/28/2019 10:00:00 AM,4
FerryDH,Dartmouth to Halifax,1052,2019.09.29 - 2019.10.05,9/29/2019 10:00:00 AM,5
FerryHD,Halifax to Dartmouth,1035,2019.09.29 - 2019.10.05,9/29/2019 10:00:00 AM,6
FerryHW,Halifax to Woodside,0,2019.09.29 - 2019.10.05,9/29/2019 10:00:00 AM,7
FerryWH,Woodside to Halifax,1401,2019.09.29 - 2019.10.05,9/29/2019 10:00:00 AM,8
FerryDH,Dartmouth to Halifax,1597,2019.09.29 - 2019.10.05,9/30/2019 10:00:00 AM,9
FerryHD,Halifax to Dartmouth,1644,2019.09.29 - 2019.10.05,9/30/2019 10:00:00 AM,10
FerryHW,Halifax to Woodside,1393,2019.09.29 - 2019.10.05,9/30/2019 10:00:00 AM,11
FerryDH,Dartmouth to Halifax,1846,2018.05.13 - 2018.05.19,5/16/2018 10:00:00 AM,12
FerryWH,Woodside to Halifax,1460,2019.09.29 - 2019.10.05,9/30/2019 10:00:00 AM,13
FerryDH,Dartmouth to Halifax,1736,2019.09.29 - 2019.10.05,10/1/2019 10:00:00 AM,14
FerryDH,Dartmouth to Halifax,2439,2017.09.03 - 2017.09.09,9/8/2017 10:00:00 AM,15
FerryHD,Halifax to Dartmouth,1810,2019.09.29 - 2019.10.05,10/1/2019 10:00:00 AM,16
FerryHW,Halifax to Woodside,1491,2019.09.29 - 2019.10.05,10/1/2019 10:00:00 AM,17
FerryWH,Woodside to Halifax,1412,2019.09.29 - 2019.10.05,10/1/2019 10:00:00 AM,18
FerryDH,Dartmouth to Halifax,1599,2019.09.29 - 2019.10.05,10/2/2019 10:00:00 AM,19
FerryDH,Dartmouth to Halifax,0,2017.01.01 - 2017.01.07,1/1/2017 10:00:00 AM,20
FerryHD,Halifax to Dartmouth,1737,2018.05.13 - 2018.05.19,5/16/2018 10:00:00 AM,21
FerryHD,Halifax to Dartmouth,2570,2017.09.03 - 2017.09.09,9/8/2017 10:00:00 AM,22
FerryHD,Halifax to Dartmouth,1497,2019.09.29 - 2019.10.05,10/2/2019 10:00:00 AM,23
FerryHD,Halifax to Dartmouth,0,2017.01.01 - 2017.01.07,1/1/2017 10:00:00 AM,24
FerryHW,Halifax to Woodside,1306,2018.05.13 - 2018.05.19,5/16/2018 10:00:00 AM,25
FerryHW,Halifax to Woodside,1441,2017.09.03 - 2017.09.09,9/8/2017 10:00:00 AM,26
FerryHW,Halifax to Woodside,1417,2019.09.29 - 2019.10.05,10/2/2019 10:00:00 AM,27
FerryHW,Halifax to Woodside,0,2017.01.01 - 2017.01.07,1/1/2017 10:00:00 AM,28
FerryWH,Woodside to Halifax,0,2018.05.13 - 2018.05.19,5/16/2018 10:00:00 AM,29
FerryWH,Woodside to Halifax,1438,2017.09.03 - 2017.09.09,9/8/2017 10:00:00 AM,30
FerryWH,Woodside to Halifax,1446,2019.09.29 - 2019.10.05,10/2/2019 10:00:00 AM,31
FerryWH,Woodside to Halifax,0,2017.01.01 - 2017.01.07,1/1/2017 10:00:00 AM,32
FerryDH,Dartmouth to Halifax,1703,2018.05.13 - 2018.05.19,5/17/2018 10:00:00 AM,33
FerryDH,Dartmouth to Halifax,2850,2017.09.03 - 2017.09.09,9/9/2017 10:00:00 AM,34
FerryDH,Dartmouth to Halifax,1910,2019.09.29 - 2019.10.05,10/3/2019 10:00:00 AM,35
FerryDH,Dartmouth to Halifax,547,2017.01.01 - 2017.01.07,1/2/2017 10:00:00 AM,36
FerryHD,Halifax to Dartmouth,2392,2017.09.03 - 2017.09.09,9/9/2017 10:00:00 AM,37
FerryHD,Halifax to Dartmouth,1808,2018.05.13 - 2018.05.19,5/17/2018 10:00:00 AM,38
FerryHD,Halifax to Dartmouth,1861,2019.09.29 - 2019.10.05,10/3/2019 10:00:00 AM,39
FerryHD,Halifax to Dartmouth,558,2017.01.01 - 2017.01.07,1/2/2017 10:00:00 AM,40
FerryHW,Halifax to Woodside,0,2017.09.03 - 2017.09.09,9/9/2017 10:00:00 AM,41
FerryHW,Halifax to Woodside,1132,2018.05.13 - 2018.05.19,5/17/2018 10:00:00 AM,42
FerryHW,Halifax to Woodside,1406,2019.09.29 - 2019.10.05,10/3/2019 10:00:00 AM,43
FerryHW,Halifax to Woodside,154,2017.01.01 - 2017.01.07,1/2/2017 10:00:00 AM,44
FerryWH,Woodside to Halifax,0,2017.09.03 - 2017.09.09,9/9/2017 10:00:00 AM,45
FerryWH,Woodside to Halifax,1068,2018.05.13 - 2018.05.19,5/17/2018 10:00:00 AM,46
FerryWH,Woodside to Halifax,1262,2019.09.29 - 2019.10.05,10/3/2019 10:00:00 AM,47
FerryWH,Woodside to Halifax,136,2017.01.01 - 2017.01.07,1/2/2017 10:00:00 AM,48
FerryDH,Dartmouth to Halifax,2464,2018.05.13 - 2018.05.19,5/18/2018 10:00:00 AM,49
FerryDH,Dartmouth to Halifax,1371,2017.09.10 - 2017.09.16,9/10/2017 10:00:00 AM,50
FerryDH,Dartmouth to Halifax,1933,2019.09.29 - 2019.10.05,10/4/2019 10:00:00 AM,51
FerryDH,Dartmouth to Halifax,1272,2017.01.01 - 2017.01.07,1/3/2017 10:00:00 AM,52
FerryHD,Halifax to Dartmouth,2499,2018.05.13 - 2018.05.19,5/18/2018 10:00:00 AM,53
FerryHD,Halifax to Dartmouth,1092,2017.09.10 - 2017.09.16,9/10/2017 10:00:00 AM,54
FerryHD,Halifax to Dartmouth,1782,2019.09.29 - 2019.10.05,10/4/2019 10:00:00 AM,55
FerryHD,Halifax to Dartmouth,1430,2017.01.01 - 2017.01.07,1/3/2017 10:00:00 AM,56
FerryHW,Halifax to Woodside,1149,2018.05.13 - 2018.05.19,5/18/2018 10:00:00 AM,57
FerryHW,Halifax to Woodside,0,2017.09.10 - 2017.09.16,9/10/2017 10:00:00 AM,58
FerryHW,Halifax to Woodside,1253,2019.09.29 - 2019.10.05,10/4/2019 10:00:00 AM,59
FerryWH,Woodside to Halifax,1104,2018.05.13 - 2018.05.19,5/18/2018 10:00:00 AM,60
FerryDH,Dartmouth to Halifax,3170,2018.05.13 - 2018.05.19,5/19/2018 10:00:00 AM,61
FerryHD,Halifax to Dartmouth,3222,2018.05.13 - 2018.05.19,5/19/2018 10:00:00 AM,62
FerryHW,Halifax to Woodside,0,2018.05.13 - 2018.05.19,5/19/2018 10:00:00 AM,63
FerryWH,Woodside to Halifax,0,2018.05.13 - 2018.05.19,5/19/2018 10:00:00 AM,64
FerryDH,Dartmouth to Halifax,1156,2018.05.20 - 2018.05.26,5/20/2018 10:00:00 AM,65
FerryHD,Halifax to Dartmouth,1154,2018.05.20 - 2018.05.26,5/20/2018 10:00:00 AM,66
FerryHW,Halifax to Woodside,0,2018.05.20 - 2018.05.26,5/20/2018 10:00:00 AM,67
FerryWH,Woodside to Halifax,0,2018.05.20 - 2018.05.26,5/20/2018 10:00:00 AM,68
FerryDH,Dartmouth to Halifax,2004,2018.05.20 - 2018.05.26,5/21/2018 10:00:00 AM,69
FerryHD,Halifax to Dartmouth,1997,2018.05.20 - 2018.05.26,5/21/2018 10:00:00 AM,70
FerryHW,Halifax to Woodside,0,2018.05.20 - 2018.05.26,5/21/2018 10:00:00 AM,71
FerryWH,Woodside to Halifax,0,2018.05.20 - 2018.05.26,5/21/2018 10:00:00 AM,72
FerryDH,Dartmouth to Halifax,1707,2018.05.20 - 2018.05.26,5/22/2018 10:00:00 AM,73
FerryHD,Halifax to Dartmouth,1796,2018.05.20 - 2018.05.26,5/22/2018 10:00:00 AM,74
FerryHW,Halifax to Woodside,1144,2018.05.20 - 2018.05.26,5/22/2018 10:00:00 AM,75
FerryWH,Woodside to Halifax,1099,2018.05.20 - 2018.05.26,5/22/2018 10:00:00 AM,76
FerryDH,Dartmouth to Halifax,1385,2018.05.20 - 2018.05.26,5/23/2018 10:00:00 AM,77
FerryHD,Halifax to Dartmouth,1629,2018.05.20 - 2018.05.26,5/23/2018 10:00:00 AM,78
FerryHW,Halifax to Woodside,1154,2018.05.20 - 2018.05.26,5/23/2018 10:00:00 AM,79
FerryWH,Woodside to Halifax,1105,2018.05.20 - 2018.05.26,5/23/2018 10:00:00 AM,80
FerryDH,Dartmouth to Halifax,1722,2018.05.20 - 2018.05.26,5/24/2018 10:00:00 AM,81
FerryHD,Halifax to Dartmouth,1776,2018.05.20 - 2018.05.26,5/24/2018 10:00:00 AM,82
FerryHW,Halifax to Woodside,1160,2018.05.20 - 2018.05.26,5/24/2018 10:00:00 AM,83
FerryWH,Woodside to Halifax,1151,2018.05.20 - 2018.05.26,5/24/2018 10:00:00 AM,84
FerryDH,Dartmouth to Halifax,1553,2018.05.20 - 2018.05.26,5/25/2018 10:00:00 AM,85
FerryHD,Halifax to Dartmouth,1970,2018.05.20 - 2018.05.26,5/25/2018 10:00:00 AM,86
FerryHW,Halifax to Woodside,1064,2018.05.20 - 2018.05.26,5/25/2018 10:00:00 AM,87
